Address,Zestimate,Comps
351-Turk-St-San-Francisco-CA-94102,N/A,N/A
371-Oak-St-371-San-Francisco-CA-94102,N/A,"$1,625,031"
55-Page-St-APT-726-San-Francisco-CA-94102,N/A,N/A
1160-Market-St-1012-San-Francisco-CA-94102,N/A,N/A
720-Gough-St-APT-45-San-Francisco-CA-94102,N/A,"$591,750"
632-Hayes-St-San-Francisco-CA-94102,N/A,N/A
69-Waller-St-San-Francisco-CA-94102,N/A,"$6,285/mo"
Cyril-Magnin-St-San-Francisco-CA-94102,N/A,"$983,677"
Ofarrell-St-San-Francisco-CA-94102,N/A,"$876,898"
Van-Ness-Ave-San-Francisco-CA-94102,N/A,"$5,240/mo"
55-Page-St-APT-310-San-Francisco-CA-94102,N/A,"$547,733"
627-Hayes-St-APT-0-San-Francisco-CA-94102,N/A,"$4,500/mo"
10-Cyril-Magnin-St-UNIT-508-San-Francisco-CA-94102,N/A,"$2,825/mo"
539-Octavia-St-4-San-Francisco-CA-94102,N/A,"$1,950/mo"
Taylor-St-San-Francisco-CA-94102,N/A,"$2,627/mo"
Fulton-St-San-Francisco-CA-94102,N/A,"$4,166/mo"
567-Ivy-St-San-Francisco-CA-94102,N/A,"$3,955/mo"
Buchanan-St-San-Francisco-CA-94102,N/A,"$3,726/mo"
1670-Market-St-APT-23-San-Francisco-CA-94102,N/A,"$2,068/mo"
325-Leavenworth-St-APT-2C-San-Francisco-CA-94102,N/A,"$2,576/mo"
8-Octavia-St-606-San-Francisco-CA-94102,N/A,"$1,025,200"
Buchanan-St-San-Francisco-Ca-San-Francisco-CA-94102,N/A,"$3,963/mo"
Fulton-St-San-Francisco-CA-94102,N/A,"$3,695/mo"
Cyril-Magnin-St-San-Francisco-CA-94102,N/A,"$730,167"
Van-Ness-Ave-San-Francisco-CA-94102,N/A,"$4,098/mo"
Turk-St-San-Francisco-CA-94102,N/A,"$2,345/mo"
Octavia-St-San-Francisco-CA-94102,N/A,"$5,476/mo"
Turk-St-San-Francisco-CA-94102,N/A,"$2,247/mo"
451-Hayes-St-San-Francisco-CA-94102,N/A,"$3,657/mo"
Van-Ness-Ave-San-Francisco-CA-94102,N/A,"$4,015/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$4,073/mo"
8-Octavia-St-702-San-Francisco-CA-94102,N/A,"$1,041,648"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$3,211/mo"
Van-Ness-Ave-San-Francisco-CA-94102,N/A,"$3,518/mo"
Hayes-St-San-Francisco-CA-94102,N/A,"$3,463/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$4,187/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$4,299/mo"
Van-Ness-Ave-San-Francisco-CA-94102,N/A,"$3,214/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$5,167/mo"
Van-Ness-Ave-San-Francisco-CA-94102,N/A,"$5,791/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$3,168/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$4,705/mo"
(Undisclosed-Address)-San-Francisco-CA-94102,N/A,"$7,766/mo"
512-Oak-St-San-Francisco-CA-94102,N/A,"$2,486,046"
750-Van-Ness-Ave-UNIT-606-San-Francisco-CA-94102,N/A,"$546,451"
47-Octavia-St-San-Francisco-CA-94102,N/A,"$654,293"
300-Ivy-St-San-Francisco-CA-94102,N/A,"$1,039,251"
55-Page-St-613-San-Francisco-CA-94102,N/A,"$1,106,149"
601-Van-Ness-Ave-APT-525-San-Francisco-CA-94102,N/A,"$678,256"
55-Page-St-523-San-Francisco-CA-94102,N/A,"$914,286"
601-Van-Ness-Ave-APT-843-San-Francisco-CA-94102,N/A,"$495,870"
601-Van-Ness-Ave-APT-326-San-Francisco-CA-94102,N/A,"$557,128"
942-Market-St-404-San-Francisco-CA-94102,N/A,"$729,374"
417-Linden-St-San-Francisco-CA-94102,N/A,"$1,125,537"
601-Van-Ness-Ave-APT-332-San-Francisco-CA-94102,N/A,"$608,151"
601-Van-Ness-Ave-APT-846-San-Francisco-CA-94102,N/A,"$585,071"
601-Van-Ness-Ave-APT-848-San-Francisco-CA-94102,N/A,"$3,553/mo"
601-Van-Ness-Ave-APT-548-San-Francisco-CA-94102,N/A,"$376,856"
8-Buchanan-St-UNIT-601-San-Francisco-CA-94102,N/A,"$820,537"
601-Van-Ness-Ave-APT-348-San-Francisco-CA-94102,N/A,"$373,703"
601-Van-Ness-Ave-APT-351-San-Francisco-CA-94102,N/A,"$688,270"
601-Van-Ness-Ave-APT-904-San-Francisco-CA-94102,N/A,"$581,019"
650-Turk-St-UNIT-802-San-Francisco-CA-94102,N/A,"$661,403"
140-Mason-St-San-Francisco-CA-94102,N/A,"$816,167"
601-Van-Ness-Ave-APT-607-San-Francisco-CA-94102,N/A,"$492,215"
601-Van-Ness-Ave-APT-108-San-Francisco-CA-94102,N/A,"$392,774"
601-Van-Ness-Ave-APT-1001-San-Francisco-CA-94102,N/A,"$537,316"
601-Van-Ness-Ave-APT-1006-San-Francisco-CA-94102,N/A,"$563,109"
601-Van-Ness-Ave-APT-630-San-Francisco-CA-94102,N/A,"$531,814"
656-Hayes-St-San-Francisco-CA-94102,N/A,"$1,094,147"
225-Laguna-St-San-Francisco-CA-94102,N/A,"$1,676,747"
14-Laguna-St-San-Francisco-CA-94102,N/A,"$1,099,251"
553-Grove-St-San-Francisco-CA-94102,N/A,"$1,151,612"
525-Gough-St-APT-102-San-Francisco-CA-94102,N/A,"$1,225,713"
525-Gough-St-APT-404-San-Francisco-CA-94102,N/A,"$1,395,400"
601-Van-Ness-Ave-APT-525-San-Francisco-CA-94102,N/A,"$678,256"
368-Elm-St-APT-407-San-Francisco-CA-94102,N/A,"$942,181"
368-Elm-St-APT-206-San-Francisco-CA-94102,N/A,"$543,551"
368-Elm-St-APT-307-San-Francisco-CA-94102,N/A,"$945,095"
83-Mcallister-St-APT-106-San-Francisco-CA-94102,N/A,"$448,130"
471-Oak-St-San-Francisco-CA-94102,N/A,"$894,446"
368-Elm-St-APT-405-San-Francisco-CA-94102,N/A,"$888,476"
83-Mcallister-St-APT-107-San-Francisco-CA-94102,N/A,"$467,240"
83-Mcallister-St-APT-410-San-Francisco-CA-94102,N/A,"$453,756"
368-Elm-St-APT-401-San-Francisco-CA-94102,N/A,"$914,109"
177-Haight-St-San-Francisco-CA-94102,N/A,"$941,274"
83-Mcallister-St-APT-304-San-Francisco-CA-94102,N/A,"$451,761"
181-Ofarrell-St-STE-308-San-Francisco-CA-94102,N/A,"$4,070/mo"
181-Ofarrell-St-STE-309-San-Francisco-CA-94102,N/A,"$894,705"
181-Ofarrell-St-STE-314-San-Francisco-CA-94102,N/A,"$1,324,194"
181-Ofarrell-St-STE-501-San-Francisco-CA-94102,N/A,"$4,119/mo"
181-Ofarrell-St-STE-502-San-Francisco-CA-94102,N/A,"$1,176,785"
181-Ofarrell-St-STE-503-San-Francisco-CA-94102,N/A,"$1,200,643"
750-Van-Ness-Ave-V304-San-Francisco-CA-94102,N/A,"$628,600"
750-Van-Ness-Ave-V306-San-Francisco-CA-94102,N/A,"$688,328"
750-Van-Ness-Ave-V307-San-Francisco-CA-94102,N/A,"$813,989"
750-Van-Ness-Ave-V404-San-Francisco-CA-94102,N/A,"$466,407"
750-Van-Ness-Ave-V502-San-Francisco-CA-94102,N/A,"$452,669"
750-Van-Ness-Ave-V505-San-Francisco-CA-94102,N/A,"$941,956"
750-Van-Ness-Ave-UNIT-701-San-Francisco-CA-94102,N/A,"$446,015"
750-Van-Ness-Ave-UNIT-805-San-Francisco-CA-94102,N/A,"$963,233"
650-Turk-St-UNIT-501-San-Francisco-CA-94102,N/A,"$706,480"
221-Page-St-San-Francisco-CA-94102,N/A,"$952,883"
55-Page-St-APT-225-San-Francisco-CA-94102,N/A,"$715,258"
55-Page-St-APT-424-San-Francisco-CA-94102,N/A,"$901,163"
55-Page-St-APT-514-San-Francisco-CA-94102,N/A,"$537,430"
55-Page-St-APT-516-San-Francisco-CA-94102,N/A,"$529,672"
55-Page-St-APT-615-San-Francisco-CA-94102,N/A,"$910,770"
55-Page-St-APT-620-San-Francisco-CA-94102,N/A,"$888,256"
55-Page-St-APT-623-San-Francisco-CA-94102,N/A,"$894,388"
55-Page-St-APT-720-San-Francisco-CA-94102,N/A,"$878,073"
55-Page-St-APT-814-San-Francisco-CA-94102,N/A,"$877,624"
55-Page-St-APT-819-San-Francisco-CA-94102,N/A,"$891,022"
219-Page-St-San-Francisco-CA-94102,N/A,"$1,026,668"
650-Turk-St-T604-San-Francisco-CA-94102,N/A,"$453,912"
55-Page-St-APT-422-San-Francisco-CA-94102,N/A,"$524,786"
55-Page-St-APT-528-San-Francisco-CA-94102,N/A,"$668,827"
55-Page-St-APT-716-San-Francisco-CA-94102,N/A,"$1,161,057"
750-Van-Ness-Ave-UNIT-1203-San-Francisco-CA-94102,N/A,"$758,545"
55-Page-St-APT-526-San-Francisco-CA-94102,N/A,"$1,144,961"
750-Van-Ness-Ave-UNIT-1304-San-Francisco-CA-94102,N/A,"$929,173"
55-Page-St-APT-513-San-Francisco-CA-94102,N/A,"$1,150,017"
55-Page-St-APT-724-San-Francisco-CA-94102,N/A,"$919,818"
650-Turk-St-T906-San-Francisco-CA-94102,N/A,"$460,662"
750-Van-Ness-Ave-UNIT-702-San-Francisco-CA-94102,N/A,"$533,522"
55-Page-St-APT-727-San-Francisco-CA-94102,N/A,"$654,078"
55-Page-St-APT-821-San-Francisco-CA-94102,N/A,"$903,757"
55-Page-St-APT-318-San-Francisco-CA-94102,N/A,"$490,167"
55-Page-St-APT-319-San-Francisco-CA-94102,N/A,"$883,552"
750-Van-Ness-Ave-UNIT-201-San-Francisco-CA-94102,N/A,"$465,033"
55-Page-St-APT-329-San-Francisco-CA-94102,N/A,"$902,280"
55-Page-St-APT-711-San-Francisco-CA-94102,N/A,"$668,494"
83-Mcallister-St-APT-501-San-Francisco-CA-94102,N/A,"$601,949"
83-Mcallister-St-APT-312-San-Francisco-CA-94102,N/A,"$454,313"
83-Mcallister-St-APT-113-San-Francisco-CA-94102,N/A,"$509,067"
83-Mcallister-St-APT-212-San-Francisco-CA-94102,N/A,"$453,860"
83-Mcallister-St-APT-305-San-Francisco-CA-94102,N/A,"$451,442"
83-Mcallister-St-APT-309-San-Francisco-CA-94102,N/A,"$450,580"
83-Mcallister-St-APT-208-San-Francisco-CA-94102,N/A,"$